comments,likes,user,user_url,source,sentiment
"2024 год, привет! Всё так. А воз и ныне там.",0,@Diego_laoshi,https://www.youtube.com/channel/UCnAV59Jb9uzZq5kqu4YqT-g,YouTube,5 stars
Люди даже не знают ГДЕ <br>ЭТОТ НАВАЛЬНЫЙ!,0,@user-xp4xv8mz3t,https://www.youtube.com/channel/UCAuXcO57ht2t_nj6FB1LMpQ,YouTube,1 star
Всю жту Мразь корумпированую чиновничью на СВО !,0,@Арслан-и2м,https://www.youtube.com/channel/UCoUcshPthjBGICdkTHsWP0Q,YouTube,5 stars
Памяти Алексею!,0,@user-ou4du4ln6f,https://www.youtube.com/channel/UC0MMe_iLrg2oH7H9GfW0EoQ,YouTube,5 stars
Навальный в корупции знает толк . Киров Лес его начальная подготовка.,0,@user-wb5id2hp7q,https://www.youtube.com/channel/UCCL3QY1xBcPDpGAN496DCKA,YouTube,4 stars
А кто построил такую меозкую Стстему депутаты чтобы им безнаказанно можно был разворовывать бюджет страны!!!,0,@user-oy9zt1wh3t,https://www.youtube.com/channel/UCKg1D0Rd63eR6HsL5pWm05Q,YouTube,1 star
Все стали жуликами рыба гниет с головы,0,@user-oy9zt1wh3t,https://www.youtube.com/channel/UCKg1D0Rd63eR6HsL5pWm05Q,YouTube,1 star
"Сам-то, тоже ... участвовал в коррумпированных схемах, когда лес воровал...)))))))))))",0,@user-un1ce8yr9l,https://www.youtube.com/channel/UCJv8vcnZuhwVW3TVOxAcAHQ,YouTube,1 star
Очень грустно без Алексея и его четвергов...<br>Светлая память Великому Человеку!,2,@royal._.muzzly,https://www.youtube.com/channel/UCdA54k4qMYjFJLzlH880O2Q,YouTube,5 stars
Навальный мертвец уже и Пригожин тоже,0,@user-ov9so2gm5h,https://www.youtube.com/channel/UCroPg5uhDgCHaNJIw4hSLTA,YouTube,1 star
"Одним из серьёзных недостатков Российской империи, порядки которой порой описывают бессмертным «воруют», были очень невысокие зарплаты чиновникам. Считается, что это самое «воруют» сказал Салтыков-Щедрин, а писатель знал толк в государственном механизме - Михаил Евграфович успел послужить и Тверским, и Рязанским вице-губернатором.Несколько веков существовало крайне порочное положение вещей, когда госсчиновнику платят мало, и предполагается, что он будет «кормиться с земли» и «от людей». При Алексее Михайловиче низшим подьячим и вовсе не платили официально. Очевидно, что при таком «фонде оплаты труда» чиновник изначально взяточник. В народном сознании все это дожило до двадцатого века, известным анекдотом про милиционера, который не приходил за зарплатой, поскольку думал «дали пистолет, и крутись, как хочешь». <br>Да-да, это все как раз на тему Тимура Иванова. В современной России наконец стали платить большие и даже очень большие зарплаты госчиновникам высокого ранга, руководству госкорпораций и так далее. Во многом и для того, чтобы рисковать на взятках было уже малопривлекательно. Понятно, что эти большие заплаты чиновники тратят как хотят, в том числе на частные дома и премиальные автомобили. Тимур Иванов - очень большой чиновник, аж целый замглавы федерального ведомства. Так откуда столько удивления высоким уровнем жизни и быта? Похоже, больше шума ради хайпа, а также использования неосведомленности граждан об уровне оплаты труда высших госчиновников. То, о чем мы говорим, само по себе не свидетельствует о том, что он кристально чист - разберётся следствие. Но сам факт элементов «роскошной жизни» не говорит вообще ни о чем",0,@user-vn9wn1qr3b,https://www.youtube.com/channel/UCP1WPFTb7uWozPzVqKUtfQg,YouTube,2 stars
"Коррупция устроена ,как у алкоголиков , если не пьёшь , то и иди лесом ! Все должны воровать , чтобы иметь друг на друга досье и в нужный момент воспользоватся этим ! Круговая порука скрытая от ФСБ и остальных органов власти , потому , что она внутри самой власти и получается , что и ловить за коррупцию не кого , все свои воры и несуны и разорители России. Ура ! Мы уже встали с колен!",0,@user-gc4sg7rn7x,https://www.youtube.com/channel/UCAupLV6Ka-fxdIEg2cPJu3g,YouTube,1 star
"Это важно!<br>В России с 2000 года на должности ставили только коррумпированных лиц, при этом добросовестных лиц под различными предлогами убирали с должностей.<br>Преступники занимались хищениями, торговлей наградами и должностями.<br>Только приблизительно злоумышленниками за данный период похищено более 100 миллиардов долларов. Народ требует вернуть все похищенные средства, воров и мошенников на должностях наказать по всей строгости и содержать в спецтюрьмах особого режима.<br>Преступники идут на все, чтобы скрыть хищения и другие преступления, деньги вывозят за границу и прячут в других местах…<br>-",1,@documentspravo2850,https://www.youtube.com/channel/UCHfSG_OPUQdWOk6KaoZSvvg,YouTube,1 star
"<a href=""https://www.youtube.com/watch?v=r04ItuXFXkw&amp;t=321"">5:21</a> здравствуйте то",0,@user-is3uk4vr5g,https://www.youtube.com/channel/UC2KlR-P3MCLkSY45NpeclNQ,YouTube,5 stars
Мвд,0,@user-is3uk4vr5g,https://www.youtube.com/channel/UC2KlR-P3MCLkSY45NpeclNQ,YouTube,5 stars
Мвд,0,@user-is3uk4vr5g,https://www.youtube.com/channel/UC2KlR-P3MCLkSY45NpeclNQ,YouTube,5 stars
Мвд,0,@user-is3uk4vr5g,https://www.youtube.com/channel/UC2KlR-P3MCLkSY45NpeclNQ,YouTube,5 stars
Почему повар не занимается непосредственно своими поварскими обязаностями?,0,@user-zk1of7dc3q,https://www.youtube.com/channel/UCRiE6WngL3IhVAjZyD9kgpg,YouTube,1 star
"Вот чья бы корова мычала, а твоя бы молчала!",0,@user-ew4dj2nn7b,https://www.youtube.com/channel/UCoZL_K-yc2zj8Hdp6Hn6JEQ,YouTube,5 stars
Ваших номер нужен,0,@user-px6nn3bd7m,https://www.youtube.com/channel/UCyUsJgq4Dzz0h8F26kxt1Dg,YouTube,3 stars
"Кто бы трепал о коррупции, ты сам коррупционер , подпитываемый из за кордона , для разрушения из нутри , страну.",0,@user-mm8vx3hi5d,https://www.youtube.com/channel/UCSHsGMxnaP_jqv0kC20NGcg,YouTube,1 star
"Папа, ты видишь луну?)<br>- во всем виноват Запад<br>- что?) <br>- ладно",3,@Tooegn,https://www.youtube.com/channel/UCNUCVD0sHiYxzwkyNsH4Ukg,YouTube,1 star
"Глупые люди плачут по Навальному за что он боролся для кого он только - только для себя нужны миллионы , президентское кресло   😮",0,@user-dt9xt3jk8p,https://www.youtube.com/channel/UCAfxwIezHFStvPKhhBj6w6w,YouTube,1 star
