city,region
Адыгейск,Адыгея Республика
Майкоп,Адыгея Республика
Агидель,Башкортостан Республика
Баймак,Башкортостан Республика
Белебей,Башкортостан Республика
Белорецк,Башкортостан Республика
Бирск,Башкортостан Республика
Благовещенск,Башкортостан Республика
Давлеканово,Башкортостан Республика
Дюртюли,Башкортостан Республика
Ишимбай,Башкортостан Республика
Кумертау,Башкортостан Республика
Межгорье,Башкортостан Республика
Мелеуз,Башкортостан Республика
Нефтекамск,Башкортостан Республика
Октябрьский,Башкортостан Республика
Салават,Башкортостан Республика
Сибай,Башкортостан Республика
Стерлитамак,Башкортостан Республика
Туймазы,Башкортостан Республика
Уфа,Башкортостан Республика
Учалы,Башкортостан Республика
Янаул,Башкортостан Республика
Бабушкин,Бурятия Республика
Гусиноозерск,Бурятия Республика
Закаменск,Бурятия Республика
Кяхта,Бурятия Республика
Северобайкальск,Бурятия Республика
Улан-Удэ,Бурятия Республика
Горно-Алтайск,Алтай Республика
Буйнакск,Дагестан Республика
Дагестанские Огни,Дагестан Республика
Дербент,Дагестан Республика
Избербаш,Дагестан Республика
Каспийск,Дагестан Республика
Кизилюрт,Дагестан Республика
Кизляр,Дагестан Республика
Махачкала,Дагестан Республика
Хасавюрт,Дагестан Республика
Южно-Сухокумск,Дагестан Республика
Карабулак,Ингушетия Республика
Магас,Ингушетия Республика
Малгобек,Ингушетия Республика
Назрань,Ингушетия Республика
Баксан,Кабардино-Балкарская Республика
Майский,Кабардино-Балкарская Республика
Нальчик,Кабардино-Балкарская Республика
Нарткала,Кабардино-Балкарская Республика
Прохладный,Кабардино-Балкарская Республика
Терек,Кабардино-Балкарская Республика
Тырныауз,Кабардино-Балкарская Республика
Чегем,Кабардино-Балкарская Республика
Городовиковск,Калмыкия Республика
Лагань,Калмыкия Республика
Элиста,Калмыкия Республика
Карачаевск,Карачаево-Черкесская Республика
Теберда,Карачаево-Черкесская Республика
Усть-Джегута,Карачаево-Черкесская Республика
Черкесск,Карачаево-Черкесская Республика
Беломорск,Карелия Республика
Кемь,Карелия Республика
Кондопога,Карелия Республика
Костомукша,Карелия Республика
Лахденпохья,Карелия Республика
Медвежьегорск,Карелия Республика
Олонец,Карелия Республика
Петрозаводск,Карелия Республика
Питкяранта,Карелия Республика
Пудож,Карелия Республика
Сегежа,Карелия Республика
Сортавала,Карелия Республика
Суоярви,Карелия Республика
Воркута,Коми Республика
Вуктыл,Коми Республика
Емва,Коми Республика
Инта,Коми Республика
Микунь,Коми Республика
Печора,Коми Республика
Сосногорск,Коми Республика
Сыктывкар,Коми Республика
Усинск,Коми Республика
Ухта,Коми Республика
Волжск,Марий Эл Республика
Звенигово,Марий Эл Республика
Йошкар-Ола,Марий Эл Республика
Козьмодемьянск,Марий Эл Республика
Ардатов,Мордовия Республика
Инсар,Мордовия Республика
Ковылкино,Мордовия Республика
Краснослободск,Мордовия Республика
Рузаевка,Мордовия Республика
Саранск,Мордовия Республика
Темников,Мордовия Республика
Алдан,Саха /Якутия/ Республика
Верхоянск,Саха /Якутия/ Республика
Вилюйск,Саха /Якутия/ Республика
Ленск,Саха /Якутия/ Республика
Мирный,Саха /Якутия/ Республика
Нерюнгри,Саха /Якутия/ Республика
Нюрба,Саха /Якутия/ Республика
Олекминск,Саха /Якутия/ Республика
Покровск,Саха /Якутия/ Республика
Среднеколымск,Саха /Якутия/ Республика
Томмот,Саха /Якутия/ Республика
Удачный,Саха /Якутия/ Республика
Якутск,Саха /Якутия/ Республика
Алагир,Северная Осетия - Алания Республика
Ардон,Северная Осетия - Алания Республика
Беслан,Северная Осетия - Алания Республика
Владикавказ,Северная Осетия - Алания Республика
Дигора,Северная Осетия - Алания Республика
Моздок,Северная Осетия - Алания Республика
Агрыз,Татарстан Республика
Азнакаево,Татарстан Республика
Альметьевск,Татарстан Республика
Арск,Татарстан Республика
Бавлы,Татарстан Республика
Болгар,Татарстан Республика
Бугульма,Татарстан Республика
Буинск,Татарстан Республика
Елабуга,Татарстан Республика
Заинск,Татарстан Республика
Зеленодольск,Татарстан Республика
Казань,Татарстан Республика
Лаишево,Татарстан Республика
Лениногорск,Татарстан Республика
Мамадыш,Татарстан Республика
Менделеевск,Татарстан Республика
Мензелинск,Татарстан Республика
Набережные Челны,Татарстан Республика
Нижнекамск,Татарстан Республика
Нурлат,Татарстан Республика
Тетюши,Татарстан Республика
Чистополь,Татарстан Республика
Ак-Довурак,Тыва Республика
Кызыл,Тыва Республика
Туран,Тыва Республика
Чадан,Тыва Республика
Шагонар,Тыва Республика
Воткинск,Удмуртская Республика
Глазов,Удмуртская Республика
Ижевск,Удмуртская Республика
Камбарка,Удмуртская Республика
Можга,Удмуртская Республика
Сарапул,Удмуртская Республика
Абаза,Хакасия Республика
Абакан,Хакасия Республика
Саяногорск,Хакасия Республика
Сорск,Хакасия Республика
Черногорск,Хакасия Республика
Аргун,Чеченская Республика
Грозный,Чеченская Республика
Гудермес,Чеченская Республика
Урус-Мартан,Чеченская Республика
Шали,Чеченская Республика
Алатырь,Чувашская Республика - Чувашия
Канаш,Чувашская Республика - Чувашия
Козловка,Чувашская Республика - Чувашия
Мариинский Посад,Чувашская Республика - Чувашия
Новочебоксарск,Чувашская Республика - Чувашия
Цивильск,Чувашская Республика - Чувашия
Чебоксары,Чувашская Республика - Чувашия
Шумерля,Чувашская Республика - Чувашия
Ядрин,Чувашская Республика - Чувашия
Алейск,Алтайский Край
Барнаул,Алтайский Край
Белокуриха,Алтайский Край
Бийск,Алтайский Край
Горняк,Алтайский Край
Заринск,Алтайский Край
Змеиногорск,Алтайский Край
Камень-на-Оби,Алтайский Край
Новоалтайск,Алтайский Край
Рубцовск,Алтайский Край
Славгород,Алтайский Край
Яровое,Алтайский Край
Абинск,Краснодарский Край
Анапа,Краснодарский Край
Апшеронск,Краснодарский Край
Армавир,Краснодарский Край
Белореченск,Краснодарский Край
Геленджик,Краснодарский Край
Горячий Ключ,Краснодарский Край
Гулькевичи,Краснодарский Край
Ейск,Краснодарский Край
Кореновск,Краснодарский Край
Краснодар,Краснодарский Край
Кропоткин,Краснодарский Край
Крымск,Краснодарский Край
Курганинск,Краснодарский Край
Лабинск,Краснодарский Край
Новокубанск,Краснодарский Край
Новороссийск,Краснодарский Край
Приморско-Ахтарск,Краснодарский Край
Славянск-на-Кубани,Краснодарский Край
Сочи,Краснодарский Край
Тимашевск,Краснодарский Край
Тихорецк,Краснодарский Край
Туапсе,Краснодарский Край
Усть-Лабинск,Краснодарский Край
Хадыженск,Краснодарский Край
Архангельск,Архангельская Область
Вельск,Архангельская Область
Каргополь,Архангельская Область
Коряжма,Архангельская Область
Котлас,Архангельская Область
Мезень,Архангельская Область
Мирный,Архангельская Область
Новодвинск,Архангельская Область
Няндома,Архангельская Область
Онега,Архангельская Область
Северодвинск,Архангельская Область
Шенкурск,Архангельская Область
Асбест,Свердловская Область
Алапаевск,Свердловская Область
Арамиль,Свердловская Область
Артемовский,Свердловская Область
Березовский,Свердловская Область
Богданович,Свердловская Область
Верхний Тагил,Свердловская Область
Верхняя Пышма,Свердловская Область
Верхняя Салда,Свердловская Область
Верхняя Тура,Свердловская Область
Волчанск,Свердловская Область
Дегтярск,Свердловская Область
Екатеринбург,Свердловская Область
Заречный,Свердловская Область
Ивдель,Свердловская Область
Ирбит,Свердловская Область
Каменск-Уральский,Свердловская Область
Камышлов,Свердловская Область
Карпинск,Свердловская Область
Качканар,Свердловская Область
Краснотурьинск,Свердловская Область
Красноуральск,Свердловская Область
Красноуфимск,Свердловская Область
Кушва,Свердловская Область
Лесной,Свердловская Область
Михайловск,Свердловская Область
Невьянск,Свердловская Область
Нижние Серги,Свердловская Область
Нижний Тагил,Свердловская Область
Нижняя Салда,Свердловская Область
Нижняя Тура,Свердловская Область
Новая Ляля,Свердловская Область
Новоуральск,Свердловская Область
Первоуральск,Свердловская Область
Полевской,Свердловская Область
Ревда,Свердловская Область
Реж,Свердловская Область
Североуральск,Свердловская Область
Серов,Свердловская Область
Среднеуральск,Свердловская Область
Сухой Лог,Свердловская Область
Сысерть,Свердловская Область
Тавда,Свердловская Область
Талица,Свердловская Область
Туринск,Свердловская Область
Алексеевка,Белгородская Область
Белгород,Белгородская Область
Бирюч,Белгородская Область
Валуйки,Белгородская Область
Грайворон,Белгородская Область
Губкин,Белгородская Область
Короча,Белгородская Область
Новый Оскол,Белгородская Область
Старый Оскол,Белгородская Область
Строитель,Белгородская Область
Шебекино,Белгородская Область
Белоусово,Брянская Область
Брянск,Брянская Область
Дятьково,Брянская Область
Жуковка,Брянская Область
Злынка,Брянская Область
Карачев,Брянская Область
Клинцы,Брянская Область
Мглин,Брянская Область
Навля,Брянская Область
Новозыбков,Брянская Область
Почеп,Брянская Область
Севск,Брянская Область
Сельцо,Брянская Область
Стародуб,Брянская Область
Сураж,Брянская Область
Трубчевск,Брянская Область
Унеча,Брянская Область
Фокино,Брянская Область
Александров,Владимирская Область
Владимир,Владимирская Область
Вязники,Владимирская Область
Гороховец,Владимирская Область
Гусь-Хрустальный,Владимирская Область
Камешково,Владимирская Область
Карабаново,Владимирская Область
Киржач,Владимирская Область
Ковров,Владимирская Область
Кольчугино,Владимирская Область
Костерево,Владимирская Область
Курлово,Владимирская Область
Лакинск,Владимирская Область
Меленки,Владимирская Область
Муром,Владимирская Область
Петушки,Владимирская Область
Покров,Владимирская Область
Радужный,Владимирская Область
Собинка,Владимирская Область
Струнино,Владимирская Область
Судогда,Владимирская Область
Суздаль,Владимирская Область
Юрьев-Польский,Владимирская Область
Волгоград,Волгоградская Область
Волжский,Волгоградская Область
Дубовка,Волгоградская Область
Жирновск,Волгоградская Область
Калач-на-Дону,Волгоградская Область
Камышин,Волгоградская Область
Котельниково,Волгоградская Область
Котово,Волгоградская Область
Краснослободск,Волгоградская Область
Ленинск,Волгоградская Область
